Actual,Predicted
15.51172,15.497029
15.44098,15.360062
15.47445,15.567583
13.94953,13.788949
15.94221,15.903024
11.30651,11.248754
16.20751,16.120607
12.5887,12.421969
16.27282,16.196062
13.87225,13.613751
14.866,14.625845
14.63525,14.425588
16.2886,16.1349
15.46492,15.607853
15.75091,15.800193
13.53347,13.766351
15.68751,15.711373
14.84015,14.66784
10.54378,10.625635
13.92831,13.755852
16.61541,16.707901
14.01946,14.161071
13.26082,13.113135
13.21129,13.34369
14.79389,14.566052
14.62845,14.392117
15.62275,15.440651
13.11578,12.897589
14.40477,14.203595
12.75551,12.937115
16.72317,16.90058
14.71798,14.846072
11.38651,11.343304
16.45486,16.633158
13.8249,13.909271
15.53894,15.79286
15.84044,16.023697
14.23579,14.285507
14.17266,14.162998
12.3721,12.552733
13.18762,13.31398
13.6464,13.764855
11.85128,11.969869
13.20286,13.232361
14.54627,14.455455
14.20749,14.290654
14.58573,14.512592
14.65376,14.663869
14.72342,14.421031
13.89266,13.85312
14.64042,14.502786
13.76395,13.893392
13.68449,13.715491
14.02953,14.148779
14.22545,14.329194
13.4581,13.176162
14.25974,14.277479
15.39961,15.270636
14.85267,14.941703
15.12397,15.476333
12.49455,12.414119
13.74735,13.713191
11.77971,11.812657
14.12396,13.974325
15.70955,15.593619
11.77264,11.589281
16.41214,16.34859
16.01949,16.00753
14.68478,14.653577
15.96914,15.79348
13.67633,13.348981
14.26083,14.366966
11.56692,11.645158
14.65974,14.80405
13.54,13.456292
13.97647,14.075356
14.88369,14.783659
13.61864,14.0827
14.25675,14.193759
13.65728,13.67064
14.6377,14.455611
14.44124,14.528595
15.45349,15.597716
12.94326,12.941269
14.35362,14.387025
14.77104,14.535909
15.12968,15.154154
13.40422,12.851396
14.55988,14.46545
15.34356,15.406022
15.19281,15.109399
12.77564,12.597753
14.76451,14.700436
17.5629,17.103281
14.70219,14.771267
14.00776,14.014165
17.00072,16.964643
16.40561,16.128563
15.70248,15.48051
15.72397,15.484958
14.46518,14.36342
17.08018,17.08538
14.31634,14.240481
11.23277,11.145603
14.6407,14.445171
13.96667,13.973119
13.82599,13.883339
14.79417,14.730405
16.88915,16.904713
14.97648,14.933616
13.52477,13.55105
12.59714,12.652709
11.94815,12.595529
15.35689,15.449082
13.6747,13.601467
11.77264,11.721172
14.7626,14.328906
14.42001,14.430831
15.52587,15.528199
14.76151,14.620231
12.01972,12.240014
15.05458,14.838373
