idx,smiles,homolumogap
483,c1nc2c(s1)CNC2,12.33428
23303,CCOc1nnco1,14.90927
7681,COn1cccn1,14.31715
17156,CNC1CNC2CC12,15.47608
32372,c1[nH]nc2c1OC2,13.47143
17060,CCC(N)C1(C)CN1,15.41322
21355,CN1CC(O)C2CC21,15.48587
37899,CC12NC1CC1NC12,16.24697
46500,CNC1CC(CN)C1,15.7939
29433,CC1Cc2nocc21,13.5713
14338,CCC1CC1C(C)C,16.73732
10780,NC1CC(N)C(O)C1,15.57349
10220,OC12CCOC1CC2,16.37241
28744,CC1CC2NCC2N1,15.69921
33009,Cc1cnn(C)c1N,13.53375
33595,COC(C)CC1CC1,16.96997
43039,OCC1CC1N1CC1,16.18384
37834,CC1OCC2CNC21,16.01486
19784,CNC1CC1C1CC1,16.04996
46572,CCC12COCC1C2,16.6516
30179,CCC(CO)COC,16.70983
31994,COCC(CN)OC,16.60371
9984,CCn1cc(C)nn1,13.90028
4059,C1OC2CNC1CO2,15.62275
12729,NCC(CO)N1CC1,16.01132
8151,CC(N)C1(C)OC1C,16.22874
43492,c1cc2csnc2[nH]1,11.01617
17980,CN(C)C1CCNC1,15.60043
19668,c1[nH]cc2c1CC2,13.07633
18341,NCCC1(O)CCC1,16.19881
6231,COC12CCOC1C2,16.32235
46584,CCCC(C)N,16.23173
8206,OC12CC1OC1CC12,16.10221
7200,CC1CCC1CCN,16.57704
24414,CCC(O)CC1CO1,17.02929
14858,OCC12CCC(C1)N2,16.17704
30573,OCC1CCCCN1,15.42764
9720,CNC1CC(C)C1O,15.25458
4983,CC1OC2(C)CC1C2,16.94847
34775,Cc1ccc(O)n1N,13.0336
41784,CCC(CN)CNC,15.43798
40938,C1CN1CCN1CC1,16.23092
28137,CCC1OC1CN,16.89895
39121,C1Cc2nnoc2C1,13.30517
19938,CC1CC(O)C1N,15.74003
27584,CC1COC1CN,16.65976
15728,Cc1cc(C)c(O)s1,12.12366
4937,CNn1cncc1C,13.58572
26454,OC12COCC(C1)C2,16.91392
16807,C1CC2CNCC2N1,14.92614
40667,NCCC1CCO1,16.64371
5837,CC1CNCC12CN2,15.63771
19920,CC1NCCC1(C)C,15.24179
30125,NCCC1(CN)CC1,16.26221
24026,CC12CCCC1C2N,15.16152
32234,CCCC1CCO1,17.0263
36992,NCC(CN)CCO,15.95989
16588,COC1CC1(C)CN,16.12289
29500,Cc1cocn1,13.93647
