idx,smiles,homolumogap
32961,OCC1(CO)CN1,16.2203
44659,CCNC1(C)CC1C,15.31227
2991,CC1(C2CC2O)CN1,16.1237
6425,OC1CNC2CCC12,15.78873
1608,CC1OCCC1CO,16.92888
44787,CN1CCC1(C)CO,15.52996
14272,CC1(C)COC1CO,16.64153
25755,CC1C2CC1N(C)C2,15.46356
13504,CC(CN)N1CC1C,15.98193
28093,CCC1(CO)CCC1,16.57214
27289,CC1NC1(CO)CO,16.38901
44059,CC1C(N)C1(C)CO,15.04587
18328,CC1CCC1N,16.12153
28307,Cc1nc(C)c(C)s1,12.17618
27371,CCOCC1CC1,17.41896
26089,CC(CN)CC1CO1,16.44561
12878,CNC1(C)C(C)C1C,15.5686
18645,CC(N)C1(N)CC1,15.5686
31964,CNCCC1CNC1,16.01921
34132,CC1COC(C)CN1,15.65758
31470,CC1OC1CC1CO1,17.98168
39641,CC1CN1C1CNC1,15.93513
19039,CNC(C)(C)C1CC1,15.63907
1382,C1C2C3CC4C1N4C23,16.25187
46346,Cc1n[nH]c(C)c1N,13.79198
39391,CNC1(C)CC1CN,15.35934
24196,CNc1cscc1Cl,11.80012
32965,CCc1conc1C,13.93892
11811,NCCc1cscn1,12.5868
5611,CC1CC(C)C(C)N1,15.33785
42752,CC1OC2C(C)C2O1,16.80426
38918,CC(O)C1(O)CNC1,15.02601
25818,CCC1(C)COC1C,16.69215
11687,Oc1[nH]ccc1Cl,13.49701
20200,CCOc1ccsn1,12.4785
36118,C1CC(CC2CC2)C1,16.96344
16726,CC1(O)CNCC1N,15.02165
30754,CCC1C(O)CN1C,15.84452
28823,Cc1nnc(C)s1,13.53783
5150,COC1CCC(C)O1,17.84018
21089,CCc1cnn(O)c1,13.89375
44351,OC1C2CC1C1OC21,16.82194
37936,CCC1COCOC1,17.31582
507,CCOc1ncco1,14.06191
25393,CC(C)c1c[nH]nn1,14.03389
237,CNCC1OC1CO,16.24289
6832,CC12CC(CN1)C2N,15.27363
2690,c1cc2oncc2s1,11.93482
32667,CN1CC2CC2C1,15.55826
36991,NCCn1cccc1,13.37374
42481,CN(C)c1ccsc1,12.0004
42392,NC12CC1NCC2O,15.07988
2654,CNC1CCC1,15.79037
6466,C1C2NCC3C1OC23,15.90601
1908,CC1(C)NC1CN,16.11826
11382,CC1CCC1N1CC1,16.20425
45310,CCCc1ncco1,13.79579
9360,NC12CCC(CC1)C2,15.8271
3751,CC1CC(C)(O)C1N,15.54411
2961,NC12CC1CC1NC12,15.62547
5565,CCN1CC1CNC,16.24017
8917,OCc1cccnn1,12.88966
13339,CC1CC2OC2C1,17.44481
43109,CC1(C)CCNC1,15.7939
24929,NC1(CO)CC1O,15.7022
20704,COc1[nH]ncc1C,14.06246
29868,c1n[nH]c2c1NCC2,12.7917
42275,OC1CC2CCC2C1,16.96154
14423,CC1(C2CCC2)CC1,16.59065
20901,NC1CC1C1CCC1,15.8535
4809,CCCC1C(O)C1O,16.52289
16094,CNC1(C)COC1C,15.6886
18365,CC1NCC2NC12C,15.51363
28083,NCC1(CN)CC1O,15.58193
30660,Cc1scc2c1CO2,12.22598
21870,Cc1cnoc1,13.91824
1173,C1OCC2COCC12,16.64289
39029,Cc1nc(O)c(N)o1,13.25075
12924,CCCCC1(C)CO1,17.40045
24909,OC1(CC2CC2)CC1,16.74521
15902,CCc1cc(N)n[nH]1,13.56204
46571,OC1CCC2CC12,16.71065
10108,NCC1CN1CCO,16.43718
14842,CC(C)(O)C1CC1,16.35854
10460,Cn1ccc(O)c1N,13.11497
11227,Nn1cccc1CO,13.06979
38619,CC1(C)CC(O)CO1,16.70493
6760,COC1(C)COC1,16.9229
6605,COCC1(C)NC1C,16.26139
16480,CC1CC1C1(N)CC1,16.5501
39770,CC1C(N)C1(C)C,15.229
30204,CC(C)(C)C1(C)CN1,15.78057
27324,NC(CO)C1CC1O,16.07227
45351,CC(O)C1CCCO1,17.18494
21947,C1NC2C3COC1C32,15.93187
24343,C1Cc2snnc2O1,11.57645
35238,NC1CCC1O,16.30983
40235,CCC(O)CN1CC1,16.1833
23904,c1cnc2c(c1)CC2,12.17373
31327,CCNC1(CN)CC1,15.5188
20131,CC1CC2(O)CC1C2,16.93188
19983,C1NCC1CC1CO1,16.20751
8183,CNc1cccs1,11.87931
29594,Cc1nocc1CO,14.15198
15187,CC1CC(CN)CO1,16.52126
24497,C1CCC2NC2CC1,15.78547
42289,OC1C2CNC1C2,15.49186
3029,CC1(N)CC2CN2C1,15.24288
29669,C1C2CC3OC2OC13,18.07502
29410,CC1OCCC1(C)C,16.57242
38629,COn1cc(C)cn1,14.01076
25634,OC12CC(C1)C1CC12,16.34085
27601,NCCC1(N)CC1,16.05051
46213,CCC1(CO)CC1N,15.17975
36694,CC12CC3CC1C2N3,15.54982
9128,CN1CC(O)C1,16.05731
9056,CC12CNC1CCN2,15.43172
12159,CC1C2CCC1N2C,15.86683
20162,CC(O)C1(C)COC1,16.52071
28392,Cc1cc(Cl)cn1C,13.15878
17949,CCC1NC1C,16.37514
20367,CC(N)C(O)C1CO1,16.3833
31755,CC(C)C1CO1,17.91529
1411,CCc1cn(C)nn1,13.89429
39262,CC1CCC(CN)C1,16.44235
12947,c1nc2c([nH]1)COC2,13.54517
17483,CC(N)CC1CC1N,15.41159
38828,CC1CC2CCNC12,15.88778
35496,c1cc2n(n1)OCC2,14.25457
11226,CC(C)(C)CC1CO1,17.24997
43851,C1OC2CC(C2)O1,17.16535
7999,NCc1ccoc1N,13.27442
30156,CC(N)C1(C)CC1O,16.07255
26737,CC(C)(O)C1(C)CN1,15.51281
18503,CC(CN)CC1CN1,16.13486
11566,CC1(N)CCNC1,15.45839
40493,c1n[nH]cc1C1CN1,13.9294
46194,CC(C)CCN1CC1,16.16126
26079,CCC1(N)C(C)C1O,15.2924
11314,CCC1(N)CN(C)C1,15.14601
34406,COC1CC2OC2C1,17.4527
14399,Nc1csc(CO)c1,11.89073
43566,OC12CNC(C1)C2,15.7803
43050,CNCCN1CC1,16.05295
27991,CC(C)CC1(C)CC1,16.40643
45290,CC1NCC2C1N2C,16.17541
17422,CC1C(N)CCC1O,15.89214
13884,CC1(O)C(N)C1N,15.06655
5549,CC1CC2CC(C2)O1,16.6097
11354,NC1C(O)C1C1CN1,15.58982
20620,CC1(N)CNC1CN,15.26002
23725,COCCC1CC1N,15.69676
28550,C1CNCCN1,15.44424
33532,C1CC2CNCC1N2,15.11771
37160,Cc1coc(C)c1Cl,13.20041
19352,CC1NC1C1(N)CC1,15.81132
20623,CC1(C(O)CO)CC1,16.44289
21875,OCC12CCN(C1)C2,15.70601
27891,C1COC2CC(C1)C2,16.5218
34385,OCCCN1CC1,16.19445
39881,NC1CC2NC1C2N,15.51036
3676,CC1OC1C,18.24645
32970,CNC1(CN)CNC1,15.52615
18609,C1C2C3NC4C2C4C13,16.08833
34920,CCCC1C(N)C1O,15.57349
33645,CC1CN1C(C)(C)C,15.6837
41691,Cc1c(O)ncn1O,13.10163
22656,NC1CCCC1,16.10221
14919,CCOCC1(C)CO1,17.5297
8405,C(CC1CO1)C1CO1,17.82739
24594,COC(C)C1CCN1,15.62601
33086,c1ccc2c(c1)CC2,12.43006
24648,CCOC1(C)COC1,16.9316
5741,CC1(C)CC(CO)O1,16.54901
44350,Cc1ccn(N)c1C,12.98707
6694,C1OC2(CC2)C2CC12,16.1316
7133,NC1CC1(O)C1CO1,15.78792
483,c1nc2c(s1)CNC2,12.33428
587,OCc1cnccn1,12.22135
40274,OC1C2CCCC1N2,15.7822
6071,CC12CCCC1C2O,15.9988
25297,CCCCN1CC1,16.41377
21938,OC1CCNC12CC2,15.55717
3586,CC(C)C1CC1C,16.89568
41172,CCc1cocc1N,13.17456
14009,CNCC1(N)CC1O,15.34601
21166,CCc1conn1,13.80749
13090,NC1CNCC2OC12,15.78765
31156,NCC1(N)CCC1N,14.99825
3734,CC(C)C1CC1O,16.37486
18346,CN1C2CCC1C2O,15.39145
7448,CC1C2CCN1C2,16.17132
23602,NC1C2NC1C1OC21,16.03935
38184,CC1NC1C(C)(C)N,15.73649
36573,COC1(C)CC1(C)N,14.9226
35118,COC1C(N)CC1N,15.36669
23085,NC1C2COC1C2N,15.69404
20292,CC12CC(CC1O)C2,16.76806
2683,CNCC1(C)CCN1,15.55798
34641,C1COC2CCC2N1,15.23417
27498,CC1(N)CC1CCO,15.88044
