idx,smiles,homolumogap
31946,CC(N)CC(C)(C)O,15.98874
39415,CC(C)C(C)C(C)N,16.14248
40867,COC(C)CN(C)C,15.35961
3275,CC(CO)C(N)CN,15.8886
37019,CCC,19.12727
18926,CC(N)C(C)CO,16.19881
38344,CCC(O)C(N)CN,15.40832
38477,CCOC(C)CCN,16.51636
19665,CCCCC(C)N,16.22656
13096,CC(O)C(C)CO,17.02086
8308,CCC(C)C(O)CN,16.68344
26469,NCC(O)C(N)CO,16.27962
37623,CNC(CN)CCN,15.83826
27660,CCCCC(C)OC,17.20181
9111,CCCC(C)OC,17.21025
6150,CCOCC(C)(C)C,17.15691
10489,COC(C)C(C)(C)N,15.98221
16048,CCC(O)COC,17.41542
45724,CCC(CN)OC,16.24425
36867,CC(CN)C(O)CO,16.072
39276,CNCCCO,15.75227
9985,CC(O)C(C)CN,16.30248
28790,COCC(C)(C)CO,16.94657
7348,CCC(C)(O)C(C)N,15.74982
28832,CCOC(C)(C)C,16.96371
43857,CCC(O)CO,17.12671
33746,NCCCC(O)CO,16.33704
16125,COC(C)(CN)OC,16.48833
6133,CCOC,17.73841
46183,CCCCO,17.68562
23645,CCC(C)(N)C(C)C,15.94384
1998,CC(C)NC(C)(C)C,15.16124
45128,CNCCOCCO,16.1901
46468,CC(CN)C(C)CO,16.33813
23357,CCC(COC)OC,17.15365
847,CNCC(CN)NC,15.55254
13449,CCOCOC(C)C,17.64998
33114,CCCNC(C)C,15.92615
11031,CCCC(C)CCO,17.57868
16540,COCC(C)C(C)N,16.34493
34135,CC(C)(N)C(O)CO,16.40534
12219,COCC(CN)CN,15.86357
39977,CC(C)C(N)CO,16.12724
21088,CCC(CCO)OC,16.84589
20760,CC(O)(CN)CCN,15.90112
1745,CCC(CNC)NC,15.16179
11339,CCC(O)CCO,17.00371
18298,CCCNC,16.09214
2524,CNCCOCCN,16.1901
33983,CCC(C)C(C)(C)C,17.38712
4630,CC(C)(O)C(N)CO,15.91064
34914,CC(N)COCCN,16.21486
9890,CCNCC(C)N,15.68969
5639,COC(C)C(N)CN,15.90384
7665,CCC(O)CC(C)O,17.18031
4186,CN(C)CCCO,15.61132
18377,CC(C)NCCCO,15.88669
41462,COC(C)OC,17.58304
1870,NCCCCN,16.59038
37429,CC(O)C(C)(C)N,16.00778
22372,CC(CO)NCCO,16.02302
1967,CC(C)(C)C(C)(C)N,15.63581
24386,CC(C)OC(C)CO,17.12426
28128,CN(C)C(C)(C)C,15.05703
40196,CC(O)C(C)(O)CN,16.23119
45381,CCOCOC,18.19284
41393,COC(C)CC(C)N,16.16126
29516,CCCCC(C)(C)N,15.9637
22174,CCC(N)C(C)CN,16.13105
28548,CCCCOC(C)C,17.24344
21159,CNCC(C)CCN,15.98928
5580,CCC(C)(N)C(C)N,15.64125
4028,CCC(C)(CN)OC,16.22819
21510,CC(C)C(O)CCN,16.23527
11937,CC(C)(O)CO,17.04507
39245,CCC(C)(O)CC,16.96997
23306,COCC(N)CO,16.10711
14669,CCNCCCNC,15.89567
20843,CCC(CC)C(C)C,17.47474
3981,CCC(NC)C(C)O,15.55009
16497,CC(C)(O)C(C)(C)O,16.68915
27635,NCC(CO)CCO,16.07418
22368,CCCC(C)(N)CC,15.93105
3059,CC(N)C(C)CN,16.20234
10702,CCC(CN)C(C)O,16.15935
40322,CN(CCN)CCO,15.82928
13792,CNCCO,16.07391
40454,CCC(N)CCNC,15.74411
39610,CNCCC(C)NC,15.83064
29875,CC(O)C(C)O,17.04725
5567,CC(C)OC(C)(C)C,16.57078
38708,CCCOCCN,16.51745
12496,CCC(C)COC,17.49052
10995,CC(O)CC(N)CO,15.98683
6319,CCCCOCCO,17.69841
24927,CCC(C)(N)C(C)O,15.82928
26463,CNCCC(C)CN,15.87064
44053,CC(C)COC(C)C,17.15691
15432,COCOCCCN,16.62602
44045,CCCCC(C)CN,16.46194
3703,CCCC(C)(O)CN,16.10003
25152,COC(C)CCO,17.19854
26430,CC(N)C(N)CCO,15.79799
35401,CC(C)C(C)CCN,16.21051
38385,CCCC(CC)OC,17.05324
1586,CC(C)(N)C(C)(C)N,15.50655
16793,CCOC(CC)CN,16.37051
40804,CC(C)(O)CCO,16.83065
31436,CC(N)CCN(C)C,15.28941
8766,CNCC(N)C(C)O,15.64914
34205,CCN(C)CC(C)O,15.53322
29832,CCC(C)C(C)CN,16.11146
46245,CC(N)C(C)(C)N,15.65268
12260,CNCCNCCN,15.65703
12481,CC(C)C(CO)CO,16.52398
1791,CCOCC(C)O,17.69079
46430,CC(C)C(N)CCN,15.76152
11174,CCN(C)CCCN,15.49295
19590,CC(C)CC(N)CN,15.61023
8733,CC(N)CCCCN,16.18003
29476,CN(CCN)CCN,15.46111
7719,CNCC(C)C(C)C,15.87908
5026,CC(CN)C(N)CN,15.94003
26198,COCCCCO,17.60127
30739,CC(O)C(C)(N)CO,16.04098
24190,CCC(C)(C)C(C)C,17.31419
36688,CCC(O)C(C)(C)C,16.8799
7667,COCOCC(C)C,17.77297
36021,CCCCCCO,17.51719
17064,CCOCCC(C)C,17.27038
16569,CCC(N)COC,16.0886
27415,COCC(C)OC,17.54712
32169,CCN(C)C(C)C,15.40778
7344,CCOC(CN)CN,15.91853
35935,CCC(O)CC,17.28834
28368,CCNCC(N)CC,15.89241
31810,CNCC(C)(O)CN,16.0184
26261,CCCC(C)(N)CO,15.80506
36254,CCC(C)(C)C(C)N,16.01323
11249,CNCC(O)CCO,15.62928
8175,CCCC(C)NCC,15.75771
14569,CC(O)CCO,17.12997
24766,CC(C)C(CN)CN,16.17432
5851,CNCC(O)CN,16.27282
15549,CCC(C)C(C)OC,17.07854
35928,CCCNC(C)CC,15.9052
20949,CCC(CN)C(C)C,15.97704
46658,CCCC(C)(C)O,17.13732
24893,CNCCCOC,16.09268
3587,CCC(O)CCCN,16.49486
36647,CCNCCC(C)C,15.88942
1104,CC(C)NCCO,15.61839
9164,NCCC(CN)CO,15.88806
33407,CC(C)N(C)CCO,14.88587
11835,CCN(CC)CCN,15.18111
33272,COCCNC(C)C,15.59472
38853,CCOCCOC,17.78794
22180,CCNCC(O)CC,16.21051
32365,CCOCC(N)CO,16.61867
15999,CNC(CO)CO,15.20941
3324,CC(CN)CN,16.14194
23499,CCCC(C)(C)OC,16.92072
7009,CCC(O)(CC)CC,16.85623
9027,CC(CO)CN(C)C,15.4203
22951,CCC(CO)C(C)N,16.32942
44535,CC(O)CC(N)CN,15.62302
16506,COCC(C)(C)C,17.22004
23581,COC(C)C(C)CO,17.17161
18943,CCC(O)CNC,16.34194
14715,CCCC(N)CC,16.13649
16191,COC(C)CCN,16.5082
33342,CCCC(CC)CO,17.09977
27673,CCOCCCN,16.6184
19719,CCC(CN)N(C)C,15.32914
424,OCCCCCCO,17.55229
26391,CCC(C)(C)CCO,17.00018
14503,NCCC(N)CO,16.01323
36992,NCC(CN)CCO,15.95989
2000,CCC(O)C(C)OC,16.88099
25719,CC(C)O,17.63338
17109,CNCC(CO)OC,16.14248
37094,CCNCCCOC,16.03255
11782,CC(CN)C(C)(C)C,16.18765
32509,CC(CN)CCCO,16.43963
25175,COCC(O)CN,16.80289
27575,CCC(O)C(C)CO,16.90031
10292,CC(C)(CN)CO,16.13813
39449,CCNC(CN)CO,15.91772
24837,CCOCCCNC,16.14194
12356,CC(O)C(C)CCN,16.2486
28218,NCCCO,16.43146
43426,CCCOCCNC,15.71064
12978,CCCN(C)CC,15.57458
22167,CNCCCCO,16.0437
43092,CCCNCCNC,16.02003
26249,CCOCOCC,18.06713
39381,CCCC(C)NC,15.91037
31146,CCC(C)C(C)NC,15.72833
36495,CNCC(C)C,15.88806
35861,CCCCC(O)CO,17.06276
35097,CCCCN(C)CC,15.55962
24203,CC(CO)C(N)CO,16.22629
35020,CCNCCNCC,15.72424
13482,CC(C)CCCO,17.49977
35247,CCC(C)(O)C(C)C,17.0048
