idx,smiles,homolumogap
40509,CC(C)CNC=N,15.05811
7337,CC=CN(N)C=O,13.39279
23045,CNC1=NCC=CN1,13.46735
33649,CON(C)C(=O)CN,15.5373
1403,CC(C)C(=O)NC=O,15.30846
14682,C=CC(C#N)=C(C)N,11.4257
24632,C#CC1NC=NC1C,14.60151
29310,NC1(COC=O)CC1,15.19308
14700,CNC(C)C(C)C=O,14.03443
26584,C#CC=CC(=O)C#C,11.1661
1319,C=NOCCCCC,15.13267
6048,C=C1CNCC12CC2,13.7166
10845,CCNC(=O)CC#N,15.77214
25894,CC=CCCC#N,14.60859
36623,CC(C)=COCC=O,13.11877
13688,C=C(CO)CC1CC1,14.47389
28684,CC=C(C)C(C)(C)C,14.31389
33010,C=CCS(=O)(=O)CO,14.43199
8784,CC=C(CO)OCC,13.95633
31890,CC1NC(=N)OC1=O,14.80451
10077,C=C1C(=N)NCC1C,12.85646
43878,N=C(N)C1=COCC1,12.69374
40587,CC(=O)C(=N)N(C)O,13.22435
39634,C#Cc1cnn(C)n1,12.94163
26057,CC(=O)NOCCN,15.94193
38082,O=C1NCCC2NC12,15.51581
46709,C=C(C=O)C(C)(C)O,13.09565
35110,CCC(=O)C1CCO1,14.97267
23011,C=CCCCCC,14.84696
19470,O=C1CC(=O)C2CC12,14.50192
31485,CC(C)CCCC=O,15.67445
18079,NN=CC#CC(=O)O,11.94461
42596,NC1=C(C=O)OCC1,11.16447
33890,CCC1=CCCO1,14.04858
35477,CON=CC(C)C#N,14.67199
43687,N=CN(O)C=CCO,13.57946
8014,COC=CCCN,14.24831
34898,CC(=O)NN(C)C=O,15.7237
2413,O=C1C2CC1C1NC21,15.00015
21315,CCC(C)=CC1CO1,13.81892
38611,CC(C)C(C=O)C=O,14.20341
16688,C=C(C)CCC(C)O,14.5792
24770,C#CCN1CC(C)C1,15.34683
46504,CCNNC(=O)CC,15.7335
16261,C#CC=CC(C)(C)O,12.71959
8033,C#CC(=C)NC(=N)N,12.30679
838,COC(=N)N(C)C,15.47254
38455,C=CC(=NC)NN=C,12.29754
39491,O=C(O)C=NN1CC1,13.33701
39541,CCC1=CC=CC1=O,10.5397
16185,N=CNC1CC(O)C1,14.99798
44728,C=CC#CC(C)C=O,12.59768
41213,O=CNC1CC1CO,15.78057
3589,CNC1C=CCC1O,14.32722
40863,CNC1C(O)C1C#N,15.85731
1727,C=C(C)N(C)C=O,13.29021
7288,CC=C1CC2CC2C1,14.02327
22062,CC1CC(N)C(=N)N1,14.54192
8893,C=C1C2CC(N2)C1O,14.17021
4230,C=Cc1cc[nH]c1,12.05672
28170,C#CC1=CCC(=O)C1,12.63659
26126,O=CC12CCCN1C2,14.5743
38932,CC=CC(CC)=NO,12.52285
32082,CNN1C=NC2CC21,14.31715
2365,OC1CC2C=CC1N2,14.02137
11943,N#CC1CNCC1=O,14.25457
16469,CC1=CC(C)OC1,14.2679
10177,COC(=O)CC(C)N,15.91472
26120,CNCC1=CCCO1,13.94382
11798,CNC(C)C=CC=O,13.06816
18167,O=CC=CNC1CC1,12.35332
11130,C=C(C(=O)O)C(C)N,13.7966
