idx,smiles,homolumogap
12072,N=C(N)C1=CCNC1,12.78163
28786,Cc1[nH]c(=N)oc1C,13.27469
6675,C#CC1(N)CN(C)C1,15.27689
42544,CC(=O)c1cc[nH]c1,12.27033
13490,C=CCC1(CO)CC1,14.80097
17471,C=CC1CC(C#N)N1,14.26954
4946,CC1NCC1(O)C=O,14.49566
5551,CC1=CC=NN2CC12,11.6442
44195,CC1NCC1C=NN,14.30709
41661,C#CC1(C)OCC1N,15.57077
36743,NC1CC(=O)N(O)C1,15.50574
5024,Cc1cc(=O)n(C)[nH]1,12.95524
21764,C#Cc1nocc1Cl,13.07224
32957,C1=CC2CCOC2O1,14.15824
2371,C=CC1COC1CN,14.51852
29947,CC1COC(=N)NO1,15.56261
3928,CC(=O)c1ncco1,12.27985
27073,C=Cn1nccc1O,12.72367
17231,NN=C1C=COCC1,12.09754
27357,O=c1cccnn1O,11.41182
43400,CC(=NO)OC1CC1,15.23662
9471,CC12C=NNC(C1)C2,13.87552
17276,C=C1CC(=N)N(C)C1,13.36885
36252,N=C(N)C1=COCO1,12.29754
21268,C=CC(C#N)C1CN1,14.59199
40814,C#CC1(C)C=NN=C1,13.3166
19383,NCC1=CCCNC1,14.20831
5301,CC(C)C1CCC1=O,14.56369
16293,ON=C1CCC=CO1,13.8415
13611,C=C1CC2CC2C1,14.25239
38647,O=CCC1NC1CO,14.89185
731,Cn1ccc(=N)nc1,11.94924
45094,C#CC1CC(N)CO1,15.89595
10101,C1=CC2OC2CCO1,13.99987
43045,CC1(N)C=NN2CC21,14.49838
11380,COC1=NN=CC1=O,11.35114
19714,C=NN1CC(CC)C1,13.99253
16847,N=C1C=CCCN1N,12.82789
42013,CC1CC=CC(=N)N1,12.73918
4095,CC(C(=N)N)C1CO1,15.25131
23567,C=C1CC(N)CC1C,14.04722
10601,C=C1CCC(=NN)N1,13.33265
868,CC1NCC1C=NO,14.9373
800,COn1cc[nH]c1=O,13.59796
23546,CN=C1N=CN2CC12,12.897
23777,CCC1OCC1=O,14.8924
36756,CC12CC1CC(=O)N2,15.28233
4724,CN=C1COC(=O)N1,14.78709
13907,O=c1cc(O)[nH]cn1,13.09401
46485,COC1=CC=CC1=O,10.01561
18268,CC1=CN=CNCC1,12.11822
29468,CNC(=O)CC1CC1,16.14166
4437,CC1C=CC2CC1N2,14.07443
18197,CCC1CNC(=O)N1,16.42058
26555,C=C(C)CNC1CC1,14.66056
3236,C1=CC2NC2C=C1,11.74815
24044,O=C1OC2CCC1C2,16.63745
36660,CC1C2C=CC1C2N,13.90926
44516,C=C(C)C1CCCC1,14.59797
30028,C#CC1CC1CC,15.39989
11509,OC12C=COC(C1)C2,14.12532
25868,CCC1=CCCC1C,14.21321
17438,C1=CCCCCCC1,14.30056
15821,CC1=CC(O)C(=N)N1,12.80013
20948,C#Cc1cnco1,12.26108
18032,C1=COC=CCNC1,13.3117
18320,CC(=N)N1CCCC1,14.57838
23376,O=CNC=NC1CC1,13.73946
17153,CNN1C=NC(C)C1,14.30954
39253,C#CCOC1CC1C,15.95962
28349,CCC1(C)OCC1=O,14.81213
25408,CC=Cc1cnno1,11.75849
7323,CC=Cc1c[nH]cn1,12.14625
41419,C1=NN2CC2C2CC12,13.69021
18477,N#CC1=NC=NC1=O,11.74896
41757,CC12NC1CCC2=O,14.42355
44666,CC1=NOCCC1=O,13.09891
6917,CC1NC=NOC1C,14.68042
40523,O=C1CC2NC2CO1,15.75989
33643,CNC(=O)C1NC1C,15.69948
12828,CNC1C=CCOC1,14.56831
21761,O=C(NO)C1CC1,16.0769
29463,C=C1CNC(C)C1C,14.21647
22836,C=CN1CC=CC1=N,11.55141
20121,CC1=CC2CCC2C1,14.21538
6704,O=C(NO)C1CCC1,15.84207
18939,C1=CCCON=C1,12.57564
42422,OC1C=CNC=NC1,13.00394
15471,CNC1CC=CC1C,14.41648
45817,C1=NCC2=NCCN12,13.38626
35594,CCC1CC=CCN1,14.52886
40843,CC12CC(C1)NC2=N,15.22954
7669,CC1=COCO1,14.05402
20073,C=CC1(N)COC1C,14.49239
