idx,smiles,homolumogap
37538,CC(C)=CC=CC#N,11.17481
34221,C=C(C)C(=O)NNC,13.57375
25176,C=COCCC(N)=O,14.53784
37619,CCC=NN=COC,13.62082
23849,C=NNC(=N)C(C)C,13.55279
34691,O=CNC=CC=NO,11.90162
9990,C=C(C)C(=C)CN,13.44885
11103,C#CCC=CC(C)C,14.48668
37544,C#CC#CC(=O)O,12.69945
41262,C#CCNC=NC,14.02273
11367,CCCC(C)C(N)=O,16.57949
45906,C=CC(=N)NC(C)=O,12.80421
23318,CN=CC(C)=CNN,12.10842
559,CCC#CC(=O)C#N,12.82326
4317,CC(C)(O)C#CC#N,14.18518
18500,C=COCC#N,14.41892
45376,C#CC(O)(C#C)C#N,14.70519
4736,CC(C=O)C(=N)NO,13.53266
19501,C#CCC(C#C)CO,15.79581
20427,CC#CC=CCNC,12.59741
29633,C#CCNCC#N,15.30165
32160,CC=CC(O)C(C)C,14.59525
44769,C=CCC(C)=COC,13.61293
28941,C=COC(C)CNC,14.6192
32115,C=CC(=CN)C(=N)N,12.09128
12977,C=C(C(C)N)C(C)N,14.48831
37759,C#CCC(C)=C(C)C,13.94463
30953,C=NN=C(C#N)CC,12.54271
37633,C=NNCC#CCN,14.11634
35394,C=CC(CN)NC=O,14.74464
44304,C=CC#CC=C(C)C,11.13372
980,CC=C(CN)C(C)O,14.06083
46099,CC=COC=CC#N,12.52448
9388,C=CC(C=C)NCC,13.95579
5809,CCNC=CC(=N)N,12.43822
16058,C=CCC(C=C)=NO,12.68884
39077,C=CC(C)=O,13.41374
29606,CC(C)(CN)C(=N)N,15.30111
31691,C#CC(=C)C(N)C=C,12.77238
21775,C#CCN(C=N)CC,14.76369
35817,C=CN(O)C(=N)OC,13.16258
28048,C#CC(O)C(O)CN,15.91663
22071,CC(=CCO)NC=N,13.66926
42309,COC(=O)N(C)C=N,15.09349
41334,CCC(=O)NC=O,15.3188
18726,CC#CC(C=O)NC,14.25511
19192,C=C(C)C(=O)COC,13.09592
13138,C#CC(C=O)ON=C,14.68913
38999,COC=NN=CC#N,12.48802
715,CCC(=NN)C(C)O,14.31198
5632,CCC=CC(O)CN,14.46464
28257,CCC=C(C)CCN,14.2347
5815,COC=CNC(N)=O,14.19851
45865,CCC(=O)CCCO,15.2475
38891,CC#CCCC#N,15.75472
14417,NNC(=O)C#CCO,14.53539
10668,CNCCNCC=O,14.1977
19319,C#CC(C#N)=CNC,11.5642
12471,C=COCC#CC=O,12.39713
31566,C=C(C)C=NOC=O,12.63197
25456,CCC(C#N)CNC,15.60941
12538,CNCS(=O)(=O)OC,15.95037
1329,C=CCCC(=C)CC,14.53049
11832,CC(C=O)=CC=O,12.07632
27800,C=CC(C)(O)C#CC,14.48069
18952,CCC(CC)=NN,14.45593
24637,C#CC(C#N)C=C,14.65457
14817,C=CC(N)CCCO,14.88043
18674,CCNN=COC,13.69511
26619,CC(=O)CCC=O,15.48615
25985,C=CC=CCC=O,12.22843
21004,C=CC(O)C=NN,13.95062
45476,C=CC(=C)C(=N)NC,12.3985
9986,CC(C(N)=O)C(N)=O,15.7286
26820,N#CC#CC#N,13.19551
20819,CCCS(=O)(=O)NN,17.05487
4859,C#CC(CC=O)OC,14.91226
13103,C=C(C)OC(=C)CO,14.466
42163,C#CC(O)CCC=O,14.68042
23596,NC=NCCC(=O)O,15.08995
24730,C#CCC(N)=O,16.08452
30976,CC(C)C#CC=NO,12.9751
