smiles,homolumogap,C_count,N_count,O_count,S_count,X_count,pi_bonds,Predicted_esm,Predicted_Exp
COc1ccc2c(c1)c1cc(OC)ccc1n2-c1ccc2c(c1)-c1cc(-n3c4ccc(OC)cc4c4cc(OC)ccc43)ccc1P2(=O)c1ccccc1,3.366869919,46,2,5,0,0,49,19.77624016,2.282297126
Fc1c(F)c(-n2c3ccccc3c3ccccc32)c(F)c(-n2c3ccccc3c3ccccc32)c1-c1nnc(-c2ccccc2)o1,3.580331412,38,4,1,0,3,47,19.77624016,2.651097126
Fc1c(F)c(-n2c3ccccc3c3ccccc32)c(F)c(F)c1/C=C/C(=C(c1ccccc1)c1ccccc1)c1ccccc1,3.451041667,40,1,0,0,4,41,19.77624016,2.558897126
Cc1ccc(-n2c(-c3ccc(C(F)(F)F)cc3)nc(-c3ccccc3O)c2-c2ccccc2O)cc1,3.95660828,29,2,2,0,3,29,19.77624016,3.065997126
CS,5.286702128,1,0,0,1,0,0,15.74230076,4.203507429
CCOC(=O)C1c2ccccc2C(=O)N1c1ccc(OC)cc1,4.390017668,18,1,4,0,0,14,17.09296184,3.47113255
N#Cc1ccc(N2c3c(sc4ccccc34)Sc3sc4ccccc4c32)cc1,4.020631068,23,2,0,3,0,27,11.90417899,3.043458802
Cc1ccc(-c2nc(-c3cccc(O)c3)[nH]c2-c2ccc(C)cc2)cc1,4.14125,23,2,1,0,0,23,19.77624016,3.342597126
COc1ccc(N(c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)cc1,3.12940806,47,1,1,0,0,44,19.77624016,2.236197126
N#Cc1ccc(N)cc1,4.760312792,7,2,0,0,0,7,11.50128788,3.76574894
Cc1cc(=O)[nH]c(=O)[nH]1,4.853027344,5,2,2,0,0,8,12.21670135,3.885134651
Cc1cc(C)c([B-]2(c3c(C)cc(C)cc3C)[O+]=P(c3ccccc3)(c3ccccc3)c3cc(-c4ccccc4)sc3-c3sc(-c4ccccc4)cc32)c(C)c1,3.090485075,50,0,1,2,0,47,19.77624016,2.097897126
Clc1ccc(-c2nc3ccccc3n2-c2ccccc2)cc1,4.211440678,19,2,0,0,1,22,19.77624016,3.526997126
Cc1cc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)ccc1N1c2ccccc2C2(c3ccccc3-c3ccccc32)c2ccccc21,3.151683337,47,4,0,0,0,48,19.77624016,2.236197126
N#Cc1c(N2CCCCC2)cc(-c2ccc3ccc4cccc5ccc2c3c45)c2c1Cc1ccccc1-2,3.611555233,35,2,0,0,0,32,19.77624016,2.789397126
C1=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2Cc2cc(N(c3ccccc3)c3ccccc3)ccc21,3.35777027,39,2,0,0,0,37,19.77624016,2.604997126
Cc1cn(C(F)(F)F)c(=O)[nH]c1=O,4.872058824,6,2,2,0,3,8,13.93944222,3.904498804
Clc1ccc(N2c3sc4ccccc4c3Sc3sc4ccccc4c32)cc1,4.00766129,22,1,0,3,1,26,12.20041093,3.100815615
c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccncc21,4.046824104,24,1,0,0,0,24,17.85339667,3.223429073
C[Si](C)(C)C#C[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,3.075185644,47,0,0,0,0,49,19.77624016,2.236197126
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2ccc(F)cc2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,3.30418883,41,3,3,0,1,37,19.77624016,2.512797126
Cc1cc(-n2c3ccccc3c3cc(C#N)ccc32)ccc1-c1ccc(S(=O)(=O)c2ccccc2)cc1C,3.643328446,33,2,2,1,0,36,19.77624016,2.881597126
c1ccc(N(c2ccccc2)c2ccc(-c3ncc(-c4ccc(-c5ccc(-c6cnc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)s6)s5)s4)s3)cc2)cc1,2.923235294,50,4,0,4,0,56,19.77624016,2.097897126
C(S/C=C/c1ccc(/C=C/SC=C(c2ccccc2)c2ccccc2)cc1)=C(c1ccccc1)c1ccccc1,3.394467213,38,0,0,2,0,34,19.77624016,2.651097126
Cc1c[nH]c(=O)[nH]c1=O,4.760057471,5,2,2,0,0,8,12.15949944,3.882960979
c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1,4.00766129,24,0,0,0,0,24,16.38161283,3.167501288
Fc1cc(-c2ccc(-c3nc4ccccc4[nH]3)cc2)ccc1-c1ccc(-c2nc3ccccc3[nH]2)cc1,3.622084548,32,4,0,0,1,38,19.77624016,2.927697126
COc1ccc(-c2nc(-c3ccc(OC)cc3)n3ccccc23)cc1,4.100247525,21,2,2,0,0,22,19.77624016,3.434797126
CCCCn1c2ccc(/C=C(\C#N)c3ccc([N+](=O)[O-])cc3)cc2c2cc(Cn3c(-c4ccc5c(c4)c4ccccc4n5CCCC)nc4ccccc43)ccc21,3.037591687,49,6,2,0,0,49,19.77624016,2.143997126
N#Cc1cccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1,4.033685065,22,3,0,0,0,24,16.92161969,3.280221548
CC(C)(C)c1ccc(-c2nc(-c3ccc(C(C)(C)C)cc3)nc(-c3cc(C#N)c(-n4c5ccccc5c5c6oc7ccccc7c6ccc54)c(C#N)c3)n2)cc1,3.125624085,49,6,1,0,0,50,19.77624016,2.143997126
Cc1ccc2[nH]c(-c3ccc(-c4ccc(-c5ccc(-c6nc7cc(C)ccc7[nH]6)cc5)cc4)cc3)nc2c1,3.539529915,34,4,0,0,0,38,19.77624016,2.835497126
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2cccs2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,3.339717742,39,3,3,1,0,36,19.77624016,2.604997126
Cn1c(-c2ccc(-c3nc(-c4ccccc4)c(-c4ccccc4)n3C)cc2)nc(-c2ccccc2)c1-c1ccccc1,3.403767123,38,4,0,0,0,40,19.77624016,2.651097126
C(=C/c1ncc(-c2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)o1)\c1cccc(N2CCCC2)c1,3.519475921,35,2,3,0,0,30,19.77624016,2.789397126
COc1ccc(-c2cc(C)nc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)n2)cc1,3.643328446,30,3,1,0,0,33,19.77624016,3.019897126
CCCCN1C(=O)c2cccc3c(Oc4cc(CO)cc(Oc5ccc6c7c(cccc57)C(=O)N(CCCC)C6=O)c4)ccc(c23)C1=O,3.451041667,39,2,7,0,0,32,18.84049642,2.569438864
CN(C)c1cccc(/C=C/c2ncc(-c3ccc(OCc4ccccc4)c(OCc4ccccc4)c3)o2)c1,3.549642857,33,2,3,0,0,30,19.77624016,2.881597126
CCSSCC,4.9695,4,0,0,2,0,0,15.20163372,4.044662081
c1ccc2c([SiH](c3c4ccccc4cc4ccccc34)c3c4ccccc4cc4ccccc34)c3ccccc3cc2c1,3.09819202,42,0,0,0,0,48,19.77624016,2.466697126
COC(=O)c1nc2c(OCc3ccccc3)nc(N)nc2n1Cc1ccccc1,3.944047619,21,5,3,0,0,23,18.3627708,3.38108529
CC(C)(C)C1CCC(=CS/C=C/c2ccc(-c3ccc(/C=C/SC=C4CCC(C(C)(C)C)CC4)cc3)cc2)CC1,3.549642857,38,0,0,2,0,16,19.77624016,2.651097126
COc1ccc(-n2c(-c3ccc(-c4cncc5ccccc45)cc3)nc3c4ccccc4c4ccccc4c32)cc1,3.403767123,37,3,1,0,0,43,19.77624016,2.697197126
CCC1(CC)c2cc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,3.09819202,47,1,0,0,0,36,19.77624016,2.236197126
Cn1ccc(=O)n(C)c1=O,4.705965909,6,2,2,0,0,8,12.68627144,3.856878315
CCCCCCOc1ccc(-c2ccc(/C=C/c3cc(/C=C/c4ccc(-c5ccc(OCCCCCC)cc5)cc4)ncn3)cc2)cc1,3.330764075,44,2,2,0,0,32,19.77624016,2.374497126
CCCCCCCCCc1c2ccccc2cc2c1oc1c3oc4c5oc6cc7ccccc7cc6c5c5ccccc5c4c3c3ccccc3c21,2.958035714,49,0,3,0,0,53,19.77624016,2.143997126
C(=C1c2ccccc2-c2ccccc21)c1ccc(C=C2c3ccccc3-c3ccccc32)cc1,3.403767123,34,0,0,0,0,32,19.77624016,2.835497126
O=c1[nH]cc(F)c(=O)[nH]1,4.705965909,4,2,2,0,1,8,12.24392845,3.932269281
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2B1c2c-3cccc2-c2cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n1c23,3.210271318,46,2,0,0,0,36,19.77624016,2.282297126
CCCCCCC(CCCC)Cn1c(=O)c2cc(C)sc2c2sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)cc2c1=O,3.11,50,1,4,4,0,31,19.77624016,2.097897126
Cc1ccc(C#Cc2ccc3ccc(=O)oc3c2)cc1,4.086759868,18,0,2,0,0,19,15.12426818,3.396322191
COC(=O)c1c(-c2cc3ccccc3oc2=O)nn(-c2cccc(C)c2)c1C(=O)OC,3.834490741,23,2,6,0,0,25,19.77624016,3.342597126
CC1(C)c2ccccc2N(c2ccc(C(=O)/C=C(\O)c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3)cc2)c2ccccc21,3.060036946,45,2,2,0,0,38,19.77624016,2.328397126
COc1ccc(C2=C(c3ccc(OC)cc3)C(C)(C)c3ccc4ccccc4c32)cc1,3.697544643,29,0,2,0,0,24,19.77624016,3.065997126
Cc1ccc(C)c(C)c1,4.709843625,9,0,0,0,0,6,12.7883934,3.722458949
CCC1=C(C2=C(C3=C(CC)S(=O)(=O)c4cc(-c5ccc(C(C)=O)s5)ccc43)C(F)(F)C(F)(F)C2(F)F)c2ccc(-c3ccc(C(C)=O)s3)cc2S1(=O)=O,3.422520661,37,0,6,4,6,31,13.35641363,2.453243718
