idx,smiles,homolumogap
40238,CC#CC(C)C#N,15.51172
10166,NC1C2CC(O)C1N2,15.44098
44998,CC1(C)CC(=O)N1O,15.47445
31448,C=CC1CC=COC1,13.94953
8592,C1OC2CC3C1N3C2,15.94221
2081,C=NN=C(C)C=CN,11.30651
18513,CCC1(C)CC1(C)O,16.20751
6361,CC=CC#CCNC,12.5887
19347,CNC(=O)N1CC1C,16.27282
7557,CCCC(C#N)=NO,13.87225
7182,C1=NOCC1N1CC1,14.866
6413,CC=CC1COCO1,14.63525
6322,CC1C2COCCN12,16.2886
46060,CC#CC(C)C1CN1,15.46492
27162,CCOC1CC1(C)N,15.75091
20475,C=C(C)C1CC=NN1,13.53347
41426,CC1NCC1(C)C,15.68751
41857,CCNCC=NOC,14.84015
7217,C=C1C=C(C)C=C1C,10.54378
36869,CCCC=NNC=O,13.92831
22932,O=S1(=O)CCC2CC21,16.61541
4729,C=NN1CC(C#N)C1,14.01946
38341,C#CC(=NC)N1CC1,13.26082
6204,CC1C(=O)CN1C=N,13.21129
2417,COC1(C)CC(=O)C1,14.79389
6082,CCOC1=CCOC1,14.62845
2132,CN1CC(C)(C#N)C1,15.62275
38905,N#CC1=NNCCO1,13.11578
34943,CC12CC(CN1)C2=O,14.40477
46522,COC1=NC(=O)N=C1,12.75551
13954,C1CC2CC1CO2,16.72317
8344,C=CCC1CCO1,14.71798
19791,O=C1N=CC=C1CO,11.38651
11210,CC1(CCCO)CC1,16.45486
5553,CC(C)=C(C)C1CC1,13.8249
31619,CN(C)CS(N)(=O)=O,15.53894
29730,CCCC(N)CN,15.84044
46255,C=NOCC(=C)CC,14.23579
23254,C=NNCC(C)C,14.17266
5042,C#CC(=NC)N(C)C,12.3721
3243,CCC1=NN=C(C)C1,13.18762
19345,C=COC=CNC=N,13.6464
12854,C=C1C=COC(=C)C1,11.85128
29112,COCc1ccc[nH]1,13.20286
45814,C=CCC(C)(C)C=C,14.54627
44445,CCONC(=N)C#N,14.20749
2494,O=CN1CC1C=NO,14.58573
38916,CC1CC(C)N1C=N,14.65376
18421,OC1CC2ON=CC12,14.72342
8510,C=C1CNCS1(=O)=O,13.89266
11634,CC1NC1C(=O)CO,14.64042
13657,CC1N=CNCC1=O,13.76395
27034,CC1=COC=NNC1,13.68449
44152,C=CC1(CO)CC1N,14.02953
18583,C=NN(CC)CC#N,14.22545
14474,C=C(C#N)CNCC,13.4581
44913,CC1=CCC(N)CC1,14.25974
37091,C#CC1(C#N)CNC1,15.39961
29833,CC1(OC=O)CC1N,14.85267
43927,CC1CCCNC1C,15.12397
38201,NCC=CC#CCO,12.49455
9006,C=C1CNC2CC12O,13.74735
4215,C#CC(=C)NC=NO,11.77971
46655,OCCC1=CCCO1,14.12396
39761,COC(C#N)C1CN1,15.70955
32891,NC1=CC(=O)C(=O)C1,11.77264
20015,NS(=O)(=O)CN1CC1,16.41214
34723,C#CCC1(CN)CC1,16.01949
9548,C=C(C)CNC(N)=O,14.68478
7638,CC1CC(C)N2CC12,15.96914
39216,N#CC#CC1CC1O,13.67633
46634,C=C(CN)CC(N)=O,14.26083
45370,C=C1OC(=O)C=C1C,11.56692
9932,CCN=CNC,14.65974
13455,CNC1C(=O)CC1C,13.54
2514,C=CC(O)C(=N)N,13.97647
42688,C1=NNC2CC2O1,14.88369
38305,CCC=CC(N)=O,13.61864
