idx,smiles,homolumogap
0,CCC(=O)CCC=O,15.32751
1,CON1CCNC1=S,12.53265
2,COC(C)(C)C=NO,15.36125
3,Cn1occ(N)c1=O,13.43905
4,C=CC(C)C#N,14.7294
5,CCC(=O)C#CC#N,13.22789
6,C1=CC2(CC1)CCN2,14.18219
7,CCCc1cocn1,13.87334
8,N=C1C=C(CO)CN1,12.5868
9,NC12CC(=O)OC1C2,15.55009
10,C=CCC#CC#CC,13.22408
11,CC(C)C1CC1CN,16.63555
12,CCN=C1CCCN1,14.46083
13,C=CC#CC#CCO,11.58298
14,C=C1CC2CC1(C)O2,14.63063
15,c1cn2ccoc2n1,13.03143
16,OCC1=CC=COC1,11.66053
17,O=Cc1ccsn1,12.01836
18,O=C1Cc2csnc21,11.51386
19,CCC1=CC=CC1,12.02543
20,CC1(O)C=CNC1=O,13.05483
21,Cc1c[nH]c(N)c1O,13.3751
22,CC1=CS(=O)(=O)C=C1,11.77454
23,CN1C2C=CC1C2O,13.92232
24,C#CC1NC1C#N,14.95036
25,CC=Cc1ccon1,12.79823
26,CNC(C=O)=CC#N,10.8031
27,C=CCC(=C)CC,14.10817
28,C=C(C#N)C#CC,11.99006
29,CC(=NO)NC1CC1,14.63743
30,N=C1CC=CCON1,14.22817
31,CCC1(O)C(N)C1O,15.44397
32,O=[N+]([O-])c1ncn[nH]1,12.57156
33,CC12CC(C1)N1CC12,16.14547
34,CC(=O)CCC1CC1,15.30682
35,CC1CNC1,16.31527
36,Cc1cccn1N,13.06843
37,CC1CC1C=CCN,13.86844
38,CC1=NNCC1C,14.05647
39,C=CC#CC(C)(C)O,12.70571
40,C=CC#CCCC=C,12.64584
41,COC(N)=C(C)C=O,12.30761
42,C1=NCC2(CN1)CN2,14.87471
43,CC1CCC(C)C1,17.96971
44,NC1CC12CCOC2,15.95663
45,C#CC(C#N)=CCO,12.05972
46,N=CNC1(CO)CC1,15.0505
47,CCC=C(C)CCO,14.14246
48,NC1C=CC=NOC1,12.50924
49,C#CC(C)(N)C=CC,14.25348
50,CCCC(O)CC=O,15.37104
51,CCC=CCN,14.43307
52,CC#CC#CCC=O,13.15823
53,C1=CC2NC=NC2=N1,11.49645
54,CC=CC(C)OC=O,14.64505
55,C#CC(C)N1CC1C,15.78873
56,CCOCC=NNC,14.10382
57,CC(C)NC(C)CO,15.73186
58,CC1NC(C)C1(C)N,15.57567
59,C=C1OC=CC1=NO,10.95549
60,O=CC1CC=NO1,14.48722
61,C=NNC=NC(=C)C,12.4336
62,N=C1C(O)C=CN1O,13.22952
63,O=CC1=CCCNC1,12.83442
64,OC1C=NOC12CC2,14.30681
65,COC1C=NNC1,13.95824
66,CC(C)N(C)CC=O,13.63198
67,COCCC1CC1O,16.84099
68,N=C(N)CC1(N)CC1,15.35771
69,C=CC(=C)CO,12.37128
70,C=C1C=CC(=O)CC1,11.51957
71,CN=C1CCCN1,14.54763
72,C1=Cc2ocnc2C1,11.54298
73,O=C1C=CCC2CC12,13.33402
74,COC1(C)CNC1,15.53404
75,C=C(C)CC(=O)NC,14.48532
76,CCC(C#N)OC,17.61841
77,CC12C=CCN(C1)C2,14.15906
78,CN(C=O)C1COC1,15.63744
79,Nc1cnsc1C=O,10.46242
80,C1=NNC2CC2OC1,13.88368
81,Cc1ccn[nH]c1=O,11.73237
82,C=NN=CC(C)C#N,13.65892
83,N#CCC1CO1,17.72018
84,O=S1(=O)CCC2CN21,16.80507
85,CN1C=NCC=CC1,13.54517
86,CC1C(=O)C(C)C1O,14.37947
87,C=C1CNC(C)(C)C1,14.18872
88,NCCC(N)C(=O)O,15.46846
89,OC1C2NN=COC12,14.68641
90,N=C(N)COC1CC1,15.49404
91,C1CC2=NNCC2O1,13.90082
92,C#CC=C(C)CCN,12.46435
93,C1=CC2COC2CO1,14.36042
94,N=C1CC=C(CN)N1,12.66734
95,C=CCOC=CCO,13.63524
96,CC1CC2CC2C1,16.84371
97,C1C2NC1C1NC21,16.48507
98,CNCCC(O)CO,15.47091
99,C1COCOC1,17.86223
100,C=C1OC=NC1=N,11.84067
101,C=CC(=O)C(C)CO,13.25293
102,C=C1C=C(C)NC1=O,10.81862
103,C#CC(=NNC)OC,12.44013
104,NC(=O)COC1CC1,16.59582
105,CCNC1C(C)C1O,15.24288
106,CNCC(=O)OC,15.352
107,C=CC=CCC1CO1,12.21183
108,CCC1=CC2CN2C1,13.59307
109,O=C1CNCC1CO,14.4679
110,CC1OC=NNC1=O,13.87525
111,CCCC(CN)NC,15.27716
112,C#CC1(N)C=NOC1,14.50682
113,O=CC1CCCCN1,13.99742
114,CC=C(CN)C(N)=O,13.55307
115,CC#CCCCO,15.53649
116,CCN=C(N)C(C)=O,12.9702
117,CCC1C2C=CCN21,13.72477
118,CC=C(CO)C(C)=O,13.06925
119,CC(C)(N)C1CNC1,15.33458
120,C=Cc1ccon1,12.62979
121,CC(N)c1ccoc1,13.42653
122,CC=CCS(=O)(=O)O,14.33158
123,CCC(=CN)C(=N)N,12.65129
124,C=Cc1ncns1,11.6189
125,N#CC=CC1CCN1,12.92993
126,CC1C=CN(N)C1=O,13.01374
127,N=C1C=CC(=CO)O1,10.9027
128,CC=CCC=CC=O,12.60013
129,C=C(C#N)N(C)C=O,12.53537
130,C#CCC1(C)COC1,15.98057
131,CN(C=N)CCCN,14.86546
132,CC1(O)CNC1CO,15.5139
133,CC1=NC(=N)C(=O)O1,12.84585
134,C#CC1CC=CO1,14.183
135,C=C1CC(C)=C(C)C1,13.60341
136,C=CC(N)C1CC1,14.66382
137,O=C(CC1CN1)NO,15.17104
138,C=C1CN=CNC1=C,11.91631
139,C#CC(=C)CNC=N,12.89755
140,CC12C=COC1CN2,14.31824
141,C=NN1CCC(C)C1,13.79143
142,CON=CC(C)CO,14.86981
143,CNC(N)=CC(C)=O,12.35958
144,O=C1OC2C=CCC12,14.55226
145,CN(C=N)CC=O,13.48096
146,Cc1cccs1,12.44149
147,CC1=NN=CC1,13.42436
148,CC(C)=CC=CCN,11.89237
149,C#CC1NC1COC,15.40968
150,NCC1=NOCCC1,14.81539
151,C=C(C)C(O)CN,14.55226
152,CC(=O)CN1CCC1,14.42763
153,C1=CCC2(CC2)OC1,14.69321
154,C=CC1(N)CCNC1,14.65212
155,CCC=C1C=CCO1,11.71413
156,CCC1(C)CC1O,16.61459
157,C=NN=CCC#N,13.73865
158,NC1CN=CN2CC12,14.84124
159,C=CS(=O)(=O)NC=N,13.84858
160,C#CC(O)(C=O)CC,14.32369
161,CN1C=NCCCO1,14.5411
162,C=C(CC)CCC,14.57267
163,CNN=COCC#N,14.08069
164,C#CCC#CCC#N,15.33839
165,CC12CCC(CC1)O2,17.12371
166,C=C(C=O)C(=N)N,12.10788
167,CC1CNC2CC2C1,15.96833
168,N=C1CC=CN1C=O,12.92585
169,CCC(=N)N1CCC1,14.54274
170,OC1C2C3CC(O3)C12,16.53949
171,CC1OC(CN)C1N,16.1218
172,C1=CCCCCC=C1,12.46543
173,C#CC(C#C)OC=O,15.2339
174,CNC1C=CCC1,14.38899
175,C1CC2(CO2)C2OC12,17.7561
176,O=C1C=NN=C1CO,11.91278
177,N#CC1CC=COC1,14.26056
178,C=NNC(C)C1CC1,14.07225
179,CC(CO)C1CC1,17.23582
180,C#CCC1=CCOC1,14.22246
181,NC1CCC1NC=O,15.6486
182,NCC1C=CC=C1,12.13727
183,N=C1C=CC(CO)N1,12.88149
184,CC1COC1(C)C#N,16.91582
185,OCC=NNCCO,13.89157
186,O=CC1CNC1CO,14.35008
187,CC(N)(CN)C1CN1,15.60016
188,OCC1=CCNN=C1,11.93482
189,N#CC1=C(N)CCO1,12.13074
190,Cc1ccnn1C=N,12.81918
191,NCC(O)C1COC1,16.65487
192,C#CC(=C)C#N,12.177
193,C1=NOCC2CCC12,14.96369
194,CC1=NN(C)CC1N,13.65184
195,Cc1ncc[nH]c1=O,11.44665
196,C=C(C#CCO)C=O,11.71386
197,CC#CC1NCC1C,15.22247
198,C#CC1=CC(=C)C=C1,10.13453
199,C=C(C=O)C(C)CO,13.11551
200,COc1cn(O)cn1,13.03741
